Name,City,State,Level A,Level B,Level C,Level D,Last Inspection End Date,Total Population
ADAMS COUNTY DET CENTER,NATCHEZ,MS,1876.461078,266.4311377,6.724550898,4.25748503,2025-01-16,2153.8742516280004
SOUTH TEXAS ICE PROCESSING CENTER,PEARSALL,TX,1299.083832,106.1257485,188.7245509,68.19760479,2025-02-06,1662.13173619
STEWART DETENTION CENTER,LUMPKIN,GA,743.3113772,194.9281437,371.5628743,328.0419162,2024-08-01,1637.8443114
WINN CORRECTIONAL CENTER,WINNFIELD,LA,1013.023952,214.7724551,187.005988,94.58083832,2025-01-16,1509.3832334200001
OTAY MESA DETENTION CENTER,SAN DIEGO,CA,800.8263473,470.1197605,45.47904192,46.21556886,2024-11-07,1362.64071858
ELOY FEDERAL CONTRACT FACILITY,ELOY,AZ,1041.886228,45.53892216,114.6886228,125.6107784,2024-10-31,1327.7245513600003
MOSHANNON VALLEY PROCESSING CENTER,PHILIPSBURG,PA,205.245509,96.46706587,542.2754491,402.0598802,2025-03-06,1246.04790417
MONTGOMERY ICE PROCESSING CENTER,CONROE,TX,149.5568862,561.4251497,355.2694611,160.9760479,2024-12-05,1227.2275448999999
CENTRAL LOUISIANA ICE PROCESSING CENTER CLIPC,JENA,LA,410.9700599,221.2095808,344.7904192,207.1616766,2025-01-09,1184.1317365
DENVER CONTRACT DETENTION FACILITY,AURORA,CO,624.5688623,190.508982,189.6586826,141.3652695,2025-02-13,1146.1017964
